地区,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年
北京,15.55,16.4,16.31,16.94,17.76,18.76,19.35,19.51,19.84,20.35
天津,15.99,16.36,16.4,16.56,16.96,17.51,18.12,18.55,18.52,18.76
河北,133.49,129.14,121.33,115.79,110.41,109.28,117.69,123.32,127.51,130.87
山西,67.93,71.97,75.38,79.38,82.78,84.85,85.5,85.27,82.29,80.57
内蒙古,42.14,43.58,44.9,46.3,48.4,49.42,50.03,49.35,49.93,51.96
辽宁,60.86,62.96,62.51,63.48,65.26,68.15,69.59,71.26,71.54,71.83
吉林,40.85,41.38,40.42,40.63,41.57,45.32,47.67,47.88,47.09,46.86
黑龙江,54.84,55.65,54.98,55.42,56.68,58.94,61.26,62.23,61.69,60.82
上海,15.82,15.89,15.78,15.82,15.74,15.68,15.77,16.11,16.89,17.76
江苏,98.08,94.34,95.15,97.8,103.42,110.99,120.87,128.7,135.66,142.22
浙江,76.92,77.34,76.56,77.34,79.08,83.98,87.58,89.9,88.02,85.55
安徽,107.47,108.5,110.7,113.55,120.13,125.51,129.29,127.89,127.6,130.57
福建,63.39,63.71,63.47,62.63,62.91,65.65,69.05,70.95,70.64,71.91
江西,100.84,96.7,94.29,92.91,90.47,87.67,83.66,78.35,73.96,77.24
山东,164.21,165.49,166.49,169.12,171.27,170.5,164.54,156.42,152.51,157.49
河南,210.06,205.49,199.6,194.31,189.55,189.23,192.63,189.51,192.16,201.2
湖北,82.35,81.94,84.5,87.6,91.9,98.82,107.45,116.77,123.74,128.68
湖南,117.55,114.63,110.91,107.44,105.7,104.1,102.66,101.38,101.9,106.43
广东,183.71,189.27,197.37,205.4,214.02,220.45,225.93,220.41,208.95,192.44
广西,103.58,97.48,91.89,86.57,83.82,81.89,79.58,77.36,75.4,75.28
海南,17.01,17.11,16.99,17.23,17.65,17.9,17.55,16.85,16.05,15.59
重庆,60.77,60.18,60.68,62.32,64.79,66.14,65.97,64.87,62.64,59.2
四川,138.95,141.3,144.72,147.06,148.98,151.6,151.65,151.2,146.23,143.55
贵州,100.78,101.1,99.37,97.89,94.27,85.71,77.3,68.9,62.02,58.16
云南,86.49,83.41,80.58,78.28,76.85,73.74,70.62,66.03,63.28,61.15
西藏,6.17,5.88,5.69,5.8,5.57,5.31,4.78,4.47,4.07,3.84
陕西,72.27,75.66,78.31,80.49,85.1,89.94,94.15,96.92,95.59,94.41
甘肃,54.93,57.73,60.35,62.94,65.44,66.66,66.49,65.71,64.7,63.07
青海,12.67,12.39,12.03,11.66,11.35,10.9,10.6,10.69,10.77,10.78
宁夏,14.76,14.88,15.2,15.97,16.35,16.52,15.75,14.8,14.24,14.07
新疆,54.97,56.71,53.77,49.79,46.3,44.75,44.07,43.27,41.91,41.71
