Country Name,Country Code,Indicator Name,2011,2012,2013,2014,2015,2016,2017,2018,2019,
中国,CHN,入学率，高等院校（占总人数的百分比）,25.64785,28.72567,32.43367,42.43073,46.04043,48.01902,49.07326,50.60444,,
美国,USA,入学率，高等院校（占总人数的百分比）,93.907,93.175,88.726,88.627,88.889,88.835,88.167,,,
