地区,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年
北京,27.9,26.64,26.83,28.34,30.68,31.06,30.55,30.23,,
天津,28.02,26.22,25.64,26.15,26.72,26.07,25.65,26.2,,
河北,283.15,260.07,243.58,236.13,228.82,208.85,217.37,215.03,,
山西,113.77,108.24,109.27,112.68,121.9,129.14,150.24,164.31,,
内蒙古,63.66,61.87,61.24,63.96,66.97,68.85,74.63,79.14,,
辽宁,98.53,96.35,97.83,101.29,105.57,105.75,113.46,119.6,,
吉林,66.06,61.87,60.43,59.55,62.29,64.5,69.66,75.15,,
黑龙江,93.28,90.4,90.39,89.98,91.63,93.28,120.48,122.4,,
上海,43.25,41.17,41.33,41.23,42.68,43.67,43.27,43.06,,
江苏,225.76,208.69,194.95,186.72,185.2,185.75,197.02,211.12,,
浙江,161.46,155.85,150.31,147.94,149.91,148.26,149.3,154.6,,
安徽,209.17,202.16,194.2,190.08,192.41,199.71,213.03,249.88,,
福建,128.71,121.57,115.48,113.35,112.57,110.82,112.04,115.73,,
江西,206.99,191.04,180.28,176.4,175.01,175.44,194.55,200.96,,
山东,345.72,329.36,315.91,310.81,314.8,317.98,328.1,345.16,,
河南,451.88,429.16,415.83,404.81,399.36,385.05,453.79,467.98,,
湖北,158.78,148.71,141.49,136.53,137.59,148.37,157.77,204.07,,
湖南,240.46,229.63,225.05,222.41,220.63,214.28,211.11,216.34,,
广东,372.47,356.1,347.84,355.32,376.75,404.79,442.47,479.06,,
广西,212.64,203.46,198.75,196.31,195.08,195.08,196.62,200.83,,
海南,35.28,33.33,32.37,32.89,33.74,34.68,36.47,39.24,,
重庆,104.56,99.04,96.6,96.04,97.94,101.76,108.73,119.02,,
四川,261.81,249.14,244.82,246.39,258.33,271.72,304.19,326.61,,
贵州,180.84,182.99,189.14,197.97,206.83,210.3,210.09,213.81,,
云南,186.15,187.28,187.32,189.43,189.8,187.44,195.43,205.26,,
西藏,12.94,12.46,12.03,11.75,12.43,12.61,13.03,13.64,,
陕西,108.55,104.97,105.1,107.08,111.73,120.19,131.55,149.88,,
甘肃,87,85.61,87.62,90.93,97.09,103.59,118.02,128.54,,
青海,22.28,20.58,20.79,21.32,21.2,20.81,20.87,22.34,,
宁夏,29.05,27.92,27.47,27.43,27.83,28.48,29.28,29.96,,
新疆,92.45,90.18,89.48,90.74,91.15,91.85,94.32,97.66,,
